"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"May",2015,1,"Senior Analyst, Business Intelligence & Measurement Strategy Consultant","Denver","CO","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,"Leadership Studies",NA,NA
"May",2015,1,"Product Owner","Mchenry","IL","UNITED STATES","Male","Finance","Management Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Technology Risk, Senior Associate","Des Moines","IA","UNITED STATES","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Amazon Commercial Manager","New York","NY","UNITED STATES","Female","Business Analytics","Marketing",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Asset Analyst","West Des Moines","IA","UNITED STATES","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Business Analyst","Chicago","IL","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Scrum Master","Omaha","NE","UNITED STATES","Female","Business Analytics","Finance",NA,"Mathematics",NA,NA,NA,NA,NA
"May",2015,1,"Supply Chain Analyst","Cordova","IL","UNITED STATES","Male","Finance","Economics (Policy)","Business Analytics",NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Business Analyst","Cedar Rapids","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"IT Risk Assurance","Philadephia","PA","CHINA","Female","Management Information Systems","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Demand Planner","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Member Relationship Specialist","Cedar Rapids","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"IT Business Analyst","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Dispatcher","Coralville","IA","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,".Net Developer","Fairfax","IA","CHINA","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Portfolio Business Analyst",NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Procurement Manager","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Strategic Analytics Specialist","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2015,1,"Pricing Analyst","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Network Engineer","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2015,1,"Associate Director","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,"Spanish",NA,NA,NA,NA,NA
